IMAGE          CREATED          CREATED BY                                      SIZE      COMMENT
f608f3e271a2   16 minutes ago   COPY index.html /usr/share/nginx/html/index.…   24.6kB    buildkit.dockerfile.v0
<missing>      3 days ago       RUN /bin/sh -c set -x     && apkArch="$(cat …   50.7MB    buildkit.dockerfile.v0
<missing>      3 days ago       ENV ACME_VERSION=0.3.1                          0B        buildkit.dockerfile.v0
<missing>      3 days ago       ENV NJS_RELEASE=1                               0B        buildkit.dockerfile.v0
<missing>      3 days ago       ENV NJS_VERSION=0.9.6                           0B        buildkit.dockerfile.v0
<missing>      3 days ago       CMD ["nginx" "-g" "daemon off;"]                0B        buildkit.dockerfile.v0
<missing>      3 days ago       STOPSIGNAL SIGQUIT                              0B        buildkit.dockerfile.v0
<missing>      3 days ago       EXPOSE map[80/tcp:{}]                           0B        buildkit.dockerfile.v0
<missing>      3 days ago       ENTRYPOINT ["/docker-entrypoint.sh"]            0B        buildkit.dockerfile.v0
<missing>      3 days ago       COPY 30-tune-worker-processes.sh /docker-ent…   16.4kB    buildkit.dockerfile.v0
<missing>      3 days ago       COPY 20-envsubst-on-templates.sh /docker-ent…   12.3kB    buildkit.dockerfile.v0
<missing>      3 days ago       COPY 15-local-resolvers.envsh /docker-entryp…   12.3kB    buildkit.dockerfile.v0
<missing>      3 days ago       COPY 10-listen-on-ipv6-by-default.sh /docker…   12.3kB    buildkit.dockerfile.v0
<missing>      3 days ago       COPY docker-entrypoint.sh / # buildkit          8.19kB    buildkit.dockerfile.v0
<missing>      3 days ago       RUN /bin/sh -c set -x     && addgroup -g 101…   5.82MB    buildkit.dockerfile.v0
<missing>      3 days ago       ENV DYNPKG_RELEASE=1                            0B        buildkit.dockerfile.v0
<missing>      3 days ago       ENV PKG_RELEASE=1                               0B        buildkit.dockerfile.v0
<missing>      3 days ago       ENV NGINX_VERSION=1.29.8                        0B        buildkit.dockerfile.v0
<missing>      3 days ago       LABEL maintainer=NGINX Docker Maintainers <d…   0B        buildkit.dockerfile.v0
<missing>      2 months ago     CMD ["/bin/sh"]                                 0B        buildkit.dockerfile.v0
<missing>      2 months ago     ADD alpine-minirootfs-3.23.3-aarch64.tar.gz …   9.36MB    buildkit.dockerfile.v0
